en,ja,end_yellow,end_red
person,ひと,がいます,とぶつかりそうです
bicycle,じてんしゃ,がいます,とぶつかりそうです
car,くるま,がいます,とぶつかりそうです
motorbike,バイク,がいます,とぶつかりそうです
bus,バス,がいます,とぶつかりそうです
train,でんしゃ,がいます,とぶつかりそうです
truck,トラック,がいます,とぶつかりそうです
boat,ふね,がいます,とぶつかりそうです
traffic_light,しんごうき,があります,とぶつかりそうです
bicycler,じてんしゃにのっているひと,がいます,とぶつかりそうです
braille_block,てんじブロック,があります,がすぐちかくにあります
guardrail,ガードレール,があります,とぶつかりそうです
white_line,はくせん,があります,がすぐちかくにあります
crosswalk,おうだんほどう,があります,がすぐちかくにあります
signal_button,しんごうきのボタン,があります,がすぐちかくにあります
signal_red,あかしんごう,です,です
signal_blue,あおしんごう,です,です
stairs,かいだん,があります,がすぐちかくにあります
handrail,ハンドレール,があります,がすぐちかくにあります
steps,だんさ,があります,がすぐちかくにあります
faregates,かいさつき,があります,がすぐちかくにあります
train_ticket_machine,きっぷのはんばいき,があります,がすぐちかくにあります
shrubs,ていぼく,があります,とぶつかりそうです
tree,き,があります,とぶつかりそうです
vending_machine,じどうはんばいき,があります,がすぐちかくにあります
bathroom,よくしつ,があります,がすぐちかくにあります
door,ドア,があります,がすぐちかくにあります
elevator,エレベーター,があります,がすぐちかくにあります
escalator,エスカレーター,があります,がすぐちかくにあります
bollard,ボラード,があります,とぶつかりそうです
bus_stop_sign,バスてい,があります,がすぐちかくにあります
pole,ポール,があります,とぶつかりそうです
monument,きねんひ,があります,がすぐちかくにあります
fence,フェンス,があります,とぶつかりそうです
wall,かべ,があります,とぶつかりそうです
signboard,かんばん,があります,がすぐちかくにあります
flag,はた,があります,がすぐちかくにあります
postbox,ゆうびんばこ,があります,がすぐちかくにあります
safety-cone,さんかくコーン,があります,とぶつかりそうです
rightcorner_u,右角,があります,がすぐちかくにあります
leftcorner_u,左角,があります,がすぐちかくにあります
rightcorner_l,右角,があります,がすぐちかくにあります
leftcorner_l,左角,があります,がすぐちかくにあります
